,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_lmt,attack_cat,Label,sIPtype,dIPtype
1193482,tcp,FIN,1.043689,37408,3068,31,29,18,8,smtp,281225.53,22865.049,52,36,255,255,2942983000,982264593,719,85,0,0,1724.1923,59.122566,20.457314,29.804972,0.000657,0.00051,0.000147,0,0,0.0,0,0,1,1,6,1,1,1,2,normal,0,ext,ext
1336586,tcp,FIN,0.384027,2062,2308,31,29,6,6,-,41184.605,46080.094,24,24,255,255,2666300559,2666576565,86,96,0,0,1014.7319,27.585655,16.682089,16.674088,0.000646,0.000514,0.000132,0,0,0.0,0,0,5,3,2,3,2,1,1,normal,0,ext,ext
1093635,tcp,FIN,0.03189,4222,63010,31,29,7,30,-,1044590.75,15593352.0,72,74,255,255,1592109988,3737821885,59,851,0,0,23.811,23.251432,0.444831,0.428671,0.000715,0.000588,0.000127,0,0,0.0,0,0,5,5,3,3,1,1,2,normal,0,ext,ext
2044806,udp,CON,0.03713,552,304,31,29,0,0,-,89200.11,49124.7,4,4,0,0,0,0,138,76,0,0,9.430447,11.31253,6.677333,8.004667,0.0,0.0,0.0,0,0,0.0,0,0,12,13,6,2,1,1,4,normal,0,ext,ext
1755485,tcp,FIN,2.193473,2934,3742,31,29,11,15,ftp,10496.596,13396.106,52,54,255,255,635176702,642870777,56,69,0,0,2963.6316,91.53409,43.00241,41.376205,0.000658,0.00053,0.000128,0,0,0.0,1,1,2,1,3,4,1,1,4,normal,0,ext,ext
792991,tcp,FIN,0.018248,1540,1644,31,29,4,4,-,633055.7,680841.75,16,18,255,255,2544538799,399985241,96,91,0,0,72.67508,2.058269,1.195667,1.046118,0.000582,0.00046,0.000122,0,0,0.0,0,0,7,11,13,9,6,1,8,normal,0,ext,ext
1140849,tcp,REQ,9e-06,90,0,254,0,1,0,-,40000000.0,0.0,2,0,255,0,0,0,45,0,0,0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0,6,0.0,0,0,8,8,4,5,1,1,8,normal,0,ext,ext
479011,udp,CON,0.001767,528,304,31,29,0,0,-,1792869.4,1032258.06,4,4,0,0,0,0,132,76,0,0,0.625556,0.318917,0.448333,0.231,0.0,0.0,0.0,0,0,0.0,0,0,17,14,4,8,1,1,3,normal,0,ext,ext
181425,udp,CON,0.001017,146,178,31,29,0,0,dns,574238.0,700098.4,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.012,0.009,0.0,0.0,0.0,0,0,0.0,0,0,4,1,3,1,1,1,1,normal,0,ext,ext
789467,tcp,FIN,1.029964,37226,3380,31,29,18,8,smtp,283590.5,25631.965,52,42,255,255,1671848943,3821178778,716,80,0,0,1825.8284,60.07577,20.188452,25.10883,0.000631,0.000498,0.000133,0,0,0.0,0,0,2,1,4,4,1,1,1,normal,0,ext,ext
1220081,tcp,FIN,0.268637,5486,92746,31,29,7,42,-,161675.42,2733800.5,96,98,255,255,1680430593,1809248630,57,946,0,0,150.53703,149.1722,2.824526,2.764268,0.000643,0.000498,0.000145,0,0,0.0,0,0,6,6,4,5,1,1,1,normal,0,ext,ext
746058,udp,CON,0.001728,536,304,31,29,0,0,-,1861111.1,1055555.5,4,4,0,0,0,0,134,76,0,0,0.633569,0.283796,0.454,0.205667,0.0,0.0,0.0,0,0,0.0,0,0,6,11,8,4,1,1,3,normal,0,ext,ext
916548,tcp,FIN,0.490825,37194,3380,31,29,18,8,smtp,594574.44,53786.992,52,42,255,255,509481691,510524630,715,80,0,0,791.25433,25.44192,9.617157,11.958561,0.000658,0.000516,0.000142,0,0,0.0,0,0,2,1,4,2,1,1,1,normal,0,ext,ext
513359,tcp,FIN,0.022317,38298,3380,31,29,19,8,smtp,13474571.0,1182954.8,54,42,255,255,2918018332,769516130,709,80,0,0,22.070309,0.866363,0.414377,0.530854,0.000839,0.000547,0.000292,0,0,0.0,0,0,1,2,7,2,1,1,1,normal,0,ext,ext
1729295,tcp,FIN,0.223334,8928,320,31,29,4,1,ftp-data,296990.16,9564.15,14,6,255,255,935243115,1204026879,638,53,0,0,1580.1056,67.53655,17.179539,44.541,0.000632,0.000506,0.000126,0,0,0.0,0,0,3,6,6,5,1,1,5,normal,0,ext,ext
1508819,tcp,FIN,0.141634,1244,2574,31,29,4,4,-,65916.375,137311.66,16,18,255,255,2043343412,4193228188,78,143,0,0,512.8577,12.743535,9.418867,8.297177,0.000699,0.000572,0.000127,0,0,0.0,0,0,12,2,3,8,2,1,1,normal,0,ext,ext
39568,tcp,FIN,0.198703,612,268,254,252,2,1,http,22183.861,9018.484,10,6,255,255,68617679,1988171130,61,45,0,0,1049.3665,63.126995,20.25289,38.3774,0.052129,0.006813,0.045316,0,1,0.0,0,0,1,1,1,1,1,1,1,Exploits,1,ext,ext
1583339,udp,CON,0.001123,130,162,31,29,0,0,dns,463045.4,577025.8,2,2,0,0,0,0,65,81,0,0,0.0,0.0,0.008,0.007,0.0,0.0,0.0,0,0,0.0,0,0,1,1,2,3,1,1,2,normal,0,ext,ext
1256932,tcp,FIN,0.022884,2958,32330,31,29,7,18,-,1012760.0,11076385.0,48,50,255,255,577299427,2739168130,62,647,0,0,31.90001,30.825014,0.480319,0.457184,0.000603,0.000479,0.000124,0,0,0.0,0,0,8,4,2,3,1,1,2,normal,0,ext,ext
677671,udp,CON,0.002379,146,178,31,29,0,0,dns,245481.3,299285.4,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.002,0.004,0.0,0.0,0.0,0,0,0.0,0,0,1,4,1,2,1,1,1,normal,0,ext,ext
433715,tcp,FIN,0.031947,2854,28874,31,29,7,16,-,699157.94,7073465.0,46,46,255,255,2449145846,2445307090,62,628,0,0,45.26506,1.209729,0.702222,0.6944,0.000839,0.000691,0.000148,0,0,0.0,0,0,11,8,3,4,1,1,1,normal,0,ext,ext
23795,udp,INT,8e-06,2642,0,254,0,0,0,-,211200000.0,0.0,2,0,0,0,0,0,1321,0,0,0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0,2,0.0,0,0,3,2,1,1,1,1,1,Fuzzers,1,ext,ext
546577,udp,CON,0.00113,146,178,31,29,0,0,dns,516814.16,630088.5,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.001,0.011,0.0,0.0,0.0,0,0,0.0,0,0,2,2,1,7,1,1,1,normal,0,ext,ext
1246227,tcp,FIN,0.835802,37278,3380,31,29,18,8,smtp,349958.47,31586.428,52,42,255,255,3873238631,3908409144,717,80,0,0,1327.2689,42.63293,16.380764,20.372513,0.000648,0.000524,0.000124,0,0,0.0,0,0,2,2,6,2,1,1,3,normal,0,ext,ext
1747690,tcp,FIN,0.002882,320,1880,31,29,1,2,ftp-data,741151.94,4566273.5,6,8,255,255,2459132073,317597949,53,235,0,0,28.246569,0.547494,0.5132,0.335143,0.000677,0.000534,0.000143,0,0,0.0,0,0,3,3,6,5,1,1,5,normal,0,ext,ext
1240641,arp,INT,0.0,46,0,0,0,0,0,-,0.0,0.0,1,0,0,0,0,0,46,0,0,0,0.0,0.0,206.36581,0.0,0.0,0.0,0.0,1,2,0.0,0,0,1,1,1,1,1,1,1,normal,0,int-10,int-10
1359032,tcp,FIN,0.949836,546,354,254,252,2,1,-,4143.873,2610.977,10,8,255,255,1582182567,3451901067,55,44,0,0,5649.6973,219.00366,100.515335,121.01686,0.18573074,0.098008,0.08856695,0,1,0.0,0,0,8,11,1,1,1,1,8,normal,0,ext,ext
1091118,tcp,FIN,1.620049,1684,10168,31,29,3,5,http,7723.223,47425.727,14,18,255,255,1481656165,3629231209,120,565,1,3924,9841.252,8605.98,124.59261,95.26647,0.000648,0.000516,0.000132,0,0,1.0,0,0,1,1,1,4,1,1,1,normal,0,ext,ext
650028,tcp,FIN,0.024378,37246,3380,31,29,18,8,smtp,11987858.0,1082943.6,52,42,255,255,2087840343,4238471380,716,80,0,0,26.5154,1.068312,0.471451,0.581146,0.000686,0.000547,0.000139,0,0,0.0,0,0,1,1,3,3,1,1,1,normal,0,ext,ext
80896,tcp,FIN,1.179678,1270,354,254,252,2,1,http,7751.268,2102.2686,10,8,255,255,487130543,1230794427,127,44,0,0,9228.833,227.62524,128.317,161.27072,0.0917,0.050777,0.040923,0,1,0.0,0,0,4,4,2,1,1,1,1,Fuzzers,1,ext,ext
687490,tcp,FIN,0.005066,3984,2456,31,29,7,7,-,5942361.0,3663640.0,18,18,255,255,3443791362,1301602229,221,136,0,0,13.840935,0.346453,0.279294,0.256176,0.000855,0.000706,0.000149,0,0,0.0,0,0,3,5,3,3,1,1,3,normal,0,ext,ext
329238,udp,CON,0.001076,130,162,31,29,0,0,dns,483271.34,602230.44,2,2,0,0,0,0,65,81,0,0,0.0,0.0,0.011,0.008,0.0,0.0,0.0,0,0,0.0,0,0,3,3,3,3,2,1,1,normal,0,ext,ext
40782,udp,CON,0.001075,146,178,31,29,0,0,dns,543255.8,662325.56,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.011,0.005,0.0,0.0,0.0,0,0,0.0,0,0,1,2,3,2,1,1,1,normal,0,ext,ext
633311,udp,CON,0.001006,146,178,31,29,0,0,-,580516.94,707753.5,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.004,0.005,0.0,0.0,0.0,0,0,0.0,0,0,11,6,3,4,1,1,1,normal,0,ext,ext
608818,udp,CON,0.004853,568,320,31,29,0,0,-,702246.06,395631.56,4,4,0,0,0,0,142,80,0,0,1.761877,1.532064,1.252333,1.091333,0.0,0.0,0.0,0,0,0.0,0,0,7,8,4,4,1,1,4,normal,0,ext,ext
89080,tcp,FIN,0.012825,2766,24114,31,29,7,16,-,1686705.6,14715010.0,44,46,255,255,4015135348,1888759177,63,524,0,0,0.0,16.191809,0.290233,0.272933,0.000677,0.000539,0.000138,0,0,0.0,0,0,7,3,1,8,1,1,1,normal,0,ext,ext
172350,udp,CON,0.000991,130,162,31,29,0,0,-,524722.5,653885.0,2,2,0,0,0,0,65,81,0,0,0.0,0.0,0.012,0.007,0.0,0.0,0.0,0,0,0.0,0,0,11,6,1,5,1,1,1,normal,0,ext,ext
2003147,udp,CON,0.000963,146,178,31,29,0,0,dns,606438.2,739356.2,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.003,0.005,0.0,0.0,0.0,0,0,0.0,0,0,1,2,4,1,1,1,1,normal,0,ext,ext
1074433,tcp,FIN,0.025781,37502,3380,31,29,18,8,smtp,11413366.0,1024009.94,52,42,255,255,1386522750,3532978868,721,80,0,0,28.391697,1.109697,0.50884,0.615195,0.000689,0.000554,0.000135,0,0,0.0,0,0,1,1,1,2,1,1,2,normal,0,ext,ext
495502,tcp,FIN,0.596108,1470,1728,31,29,5,4,-,18842.223,21539.72,22,14,255,255,812385205,2957999899,67,123,0,0,0.0,89.202576,28.386095,45.80608,0.000656,0.000485,0.000171,0,0,0.0,0,0,23,13,4,6,1,1,1,normal,0,ext,ext
1265932,tcp,FIN,0.04429,2958,31784,31,29,7,18,-,523278.4,5626372.0,48,50,255,255,598734944,2744451798,62,636,0,0,64.95967,62.47257,0.935191,0.889694,0.000803,0.000687,0.000116,0,0,0.0,0,0,5,3,3,5,1,1,1,normal,0,ext,ext
1241629,tcp,FIN,0.152914,4862,79882,31,29,7,36,-,251383.12,4130635.5,84,86,255,255,2992323825,3000959836,58,929,0,0,97.250374,95.235245,1.838386,1.7934,0.000595,0.000472,0.000123,0,0,0.0,0,0,3,8,3,2,1,1,2,normal,0,ext,ext
1923364,tcp,FIN,3.435015,1010,354,254,252,2,1,-,2117.0212,721.9765,10,8,255,255,1905550245,1702494625,101,44,0,0,11714.749,763.9652,206.36581,166.2804,0.18573074,0.098008,0.08856695,0,1,0.0,0,0,3,3,1,1,1,1,3,normal,0,ext,ext
675458,tcp,FIN,0.278007,5486,92132,31,29,7,42,-,156226.28,2624164.2,96,98,255,255,1525720671,3789559903,57,940,0,0,178.46985,176.82727,2.923042,2.861062,0.000625,0.00048,0.000145,0,0,0.0,0,0,12,6,1,5,1,1,1,normal,0,ext,ext
354147,tcp,FIN,0.010973,5928,8010,31,29,14,17,ssh,4252620.0,5739178.0,62,58,255,255,1371386361,1371709648,96,138,0,0,11.560469,11.62697,0.179885,0.17914,0.000766,0.000607,0.000159,0,0,0.0,0,0,1,1,1,4,1,1,1,normal,0,ext,ext
1507991,tcp,FIN,0.047393,8928,320,31,29,4,1,ftp-data,1399531.5,45069.945,14,6,255,255,2816088935,976110555,638,53,0,0,409.39548,18.36112,3.949417,9.281,0.000659,0.000542,0.000117,0,0,0.0,0,0,3,3,4,1,1,1,3,normal,0,ext,ext
1309104,tcp,FIN,0.341239,4824,2976,31,29,7,7,-,109061.39,67284.22,28,28,255,255,3006104221,3004981855,172,106,0,0,777.5065,20.97562,12.626814,12.617223,0.000711,0.000571,0.00014,0,0,0.0,0,0,5,3,4,4,1,1,2,normal,0,ext,ext
100869,tcp,FIN,0.779515,37144,3380,31,29,18,8,smtp,373873.5,33867.21,52,42,255,255,3991486039,2143665000,714,80,0,0,1346.204,43.727448,15.277784,18.999731,0.000629,0.000522,0.000107,0,0,0.0,0,0,2,2,3,3,1,1,1,normal,0,ext,ext
398168,tcp,FIN,0.044992,4238,61854,31,29,7,30,-,743243.25,10849751.0,72,74,255,255,1038092914,1038445841,59,836,0,0,42.424217,41.146366,0.629197,0.607151,0.000804,0.000659,0.000145,0,0,0.0,0,0,9,11,11,8,3,3,6,normal,0,ext,ext
372808,tcp,FIN,1.149918,1470,1728,31,29,5,4,-,9767.653,11166.014,22,14,255,255,162796618,2308491452,67,123,0,0,5024.814,181.26302,54.758,88.40385,0.000675,0.000542,0.000133,0,0,0.0,0,0,5,4,4,2,2,1,1,normal,0,ext,ext
797413,udp,CON,0.001081,146,178,31,29,0,0,dns,540240.56,658649.44,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.032,0.008,0.0,0.0,0.0,0,0,0.0,0,0,4,5,3,3,2,2,2,normal,0,ext,ext
1225399,tcp,FIN,0.047467,424,8824,31,29,1,4,ftp-data,62527.65,1363305.0,8,12,255,255,3068479051,3453693529,53,735,0,0,546.734,451.4855,6.671857,4.6969,0.00063,0.000493,0.000137,0,0,0.0,0,0,4,5,8,5,1,1,4,normal,0,ext,ext
1955356,tcp,FIN,0.015964,2438,19440,31,29,7,13,-,1189676.8,9498372.0,38,40,255,255,2492024264,2492284334,64,486,0,0,0.0,26.788897,0.434861,0.394795,0.00069,0.000564,0.000126,0,0,0.0,0,0,4,8,4,2,1,1,1,normal,0,ext,ext
2038583,tcp,FIN,0.010665,5928,8010,31,29,14,17,ssh,4375433.5,5904922.5,62,58,255,255,56388091,56681349,96,138,0,0,10.58327,0.0,0.17775,0.182255,0.000632,0.000513,0.000119,0,0,0.0,0,0,1,1,2,4,1,1,1,normal,0,ext,ext
753976,udp,CON,0.002127,536,304,31,29,0,0,-,1511988.8,857545.9,4,4,0,0,0,0,134,76,0,0,0.613769,0.496866,0.439,0.356333,0.0,0.0,0.0,0,0,0.0,0,0,8,5,3,6,1,1,3,normal,0,ext,ext
1321459,tcp,FIN,0.004152,1064,2260,31,29,4,4,-,1880539.5,3992293.0,12,12,255,255,3566710453,3567014308,89,188,0,0,17.334282,0.390863,0.346455,0.320727,0.000784,0.000615,0.000169,0,0,0.0,0,0,4,9,1,4,1,1,1,normal,0,ext,ext
935688,tcp,FIN,0.00458,1470,1728,31,29,5,4,-,2452401.8,2803493.5,22,14,255,255,963599108,963913157,67,123,0,0,13.344154,0.396367,0.218095,0.296385,0.000729,0.00059,0.000139,0,0,0.0,0,0,1,6,2,1,1,1,1,normal,0,ext,ext
374093,tcp,FIN,0.374015,320,1830,31,29,1,2,ftp-data,5711.001,34266.004,6,8,255,255,2212642583,2451630095,53,229,0,0,5275.3984,130.39766,74.729,53.36857,0.000567,0.000429,0.000138,0,0,0.0,0,0,3,3,4,3,1,1,3,normal,0,ext,ext
1162671,tcp,FIN,0.397482,4912,3080,31,29,7,7,-,95340.164,59937.305,28,30,255,255,3774514585,1717838842,175,103,0,0,823.5073,20.95617,14.71037,13.690345,0.00058,0.000461,0.000119,0,0,0.0,0,0,8,9,6,6,1,1,4,normal,0,ext,ext
1028210,tcp,FIN,0.012962,2558,23162,31,29,7,14,-,1539885.8,13955253.0,40,42,255,255,3777074513,1644604981,64,551,0,0,18.94122,18.004177,0.332763,0.309775,0.000695,0.000569,0.000126,0,0,0.0,0,0,7,14,6,3,1,1,1,normal,0,ext,ext
877890,tcp,FIN,0.091985,2158,2464,31,29,6,6,-,179942.38,205424.8,24,24,255,255,3034238996,889162816,90,103,0,0,384.65485,11.511426,3.983696,3.97387,0.000713,0.000575,0.000138,0,0,0.0,0,0,5,7,3,4,1,1,1,normal,0,ext,ext
1446183,udp,CON,0.00103,130,162,31,29,0,0,dns,504854.34,629126.2,2,2,0,0,0,0,65,81,0,0,0.0,0.0,0.01,0.007,0.0,0.0,0.0,0,0,0.0,0,0,4,1,2,9,3,1,1,normal,0,ext,ext
499921,tcp,FIN,0.009167,4312,2456,31,29,7,7,-,3554489.0,2024653.8,18,18,255,255,1640659190,3793943070,240,136,0,0,26.69878,0.671961,0.520294,0.452765,0.001589,0.001466,0.000123,0,0,0.0,0,0,4,8,3,4,1,1,3,normal,0,ext,ext
1048087,tcp,FIN,0.068788,2958,32642,31,29,7,18,-,336919.22,3720416.5,48,50,255,255,139100742,221656451,62,653,0,0,0.0,80.4524,1.456745,1.39349,0.000631,0.000502,0.000129,0,0,0.0,0,0,5,6,4,1,1,1,1,normal,0,ext,ext
1598375,tcp,FIN,1.029829,1684,10168,31,29,3,5,http,12149.59,74606.56,14,18,255,255,432481221,2583129968,120,565,1,3924,8767.981,7677.153,79.191154,60.547,0.000665,0.000524,0.000141,0,0,1.0,0,0,2,1,5,3,1,1,2,normal,0,ext,ext
60734,tcp,FIN,0.034026,3598,48710,31,29,7,24,-,832069.56,11267854.0,60,62,255,255,4244288581,4244632283,60,786,0,0,33.40512,32.745464,0.570492,0.548229,0.000717,0.000573,0.000144,0,0,0.0,0,0,2,3,3,1,1,1,1,normal,0,ext,ext
379558,udp,CON,0.001019,146,178,31,29,0,0,dns,573110.94,698724.25,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.009,0.006,0.0,0.0,0.0,0,0,0.0,0,0,4,1,7,2,1,1,1,normal,0,ext,ext
841640,tcp,FIN,0.197288,4224,2768,31,29,7,7,-,163497.02,107578.766,22,24,255,255,3468267901,3471835222,192,115,0,0,709.18524,19.51314,9.379,8.554087,0.000686,0.000541,0.000145,0,0,0.0,0,0,9,6,4,5,1,1,3,normal,0,ext,ext
1522929,tcp,FIN,3.246841,6874,236088,31,29,11,86,-,16789.242,578738.56,114,196,255,255,1518220568,1527819772,60,1205,0,0,7491.85,5716.275,28.730247,16.62376,0.005351,0.005205,0.000146,0,0,0.0,0,0,10,18,3,2,1,1,8,normal,0,ext,ext
53840,tcp,FIN,0.025188,2646,23508,31,29,7,14,-,820390.6,7288867.5,42,42,255,255,4056338450,4093075686,63,560,0,0,0.0,1.193417,0.606634,0.602171,0.000638,0.000495,0.000143,0,0,0.0,0,0,11,3,3,7,1,1,1,normal,0,ext,ext
858093,udp,CON,0.01236,528,304,31,29,0,0,-,256310.67,147572.81,4,4,0,0,0,0,132,76,0,0,0.627439,5.303301,0.447667,3.758,0.0,0.0,0.0,0,0,0.0,0,0,4,11,4,4,1,1,3,normal,0,ext,ext
1101557,tcp,FIN,0.029942,4222,63010,31,29,7,30,-,1112550.9,16607842.0,72,74,255,255,2609000499,463918625,59,851,0,0,22.208767,21.65587,0.423543,0.412606,0.000777,0.000638,0.000139,0,0,0.0,0,0,7,4,1,5,1,1,1,normal,0,ext,ext
762250,udp,CON,0.001037,130,162,31,29,0,0,dns,501446.5,624879.5,2,2,0,0,0,0,65,81,0,0,0.0,0.0,0.01,0.001,0.0,0.0,0.0,0,0,0.0,0,0,3,2,3,4,3,2,2,normal,0,ext,ext
1967283,tcp,FIN,0.225203,8928,320,31,29,4,1,ftp-data,294525.4,9484.776,14,6,255,255,14032498,333100796,638,53,0,0,1595.7349,68.563225,17.323309,44.9258,0.000584,0.000448,0.000136,0,0,0.0,0,0,3,3,5,8,1,1,5,normal,0,ext,ext
260853,udp,CON,0.001018,146,178,31,29,0,0,dns,573673.9,699410.6,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.011,0.006,0.0,0.0,0.0,0,0,0.0,0,0,2,5,2,1,1,1,1,normal,0,ext,ext
1390769,tcp,FIN,0.069319,2750,27294,31,29,7,16,-,310217.97,3081521.5,44,46,255,255,1116990598,3363865133,63,593,0,0,111.63406,107.9026,1.604233,1.529689,0.000598,0.000481,0.000117,0,0,0.0,0,0,3,7,3,7,1,1,1,normal,0,ext,ext
744389,udp,CON,0.001008,146,178,31,29,0,0,dns,579365.06,706349.2,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.007,0.008,0.0,0.0,0.0,0,0,0.0,0,0,5,2,2,4,2,1,1,normal,0,ext,ext
438538,tcp,FIN,0.77117,2054,2478,31,29,6,6,-,20343.115,24637.887,22,24,255,255,3370193916,1220899920,93,103,0,0,2497.4463,2385.969,36.705048,33.506912,0.000626,0.0005,0.000126,0,0,0.0,0,0,4,5,6,4,1,1,1,normal,0,ext,ext
145409,tcp,FIN,0.00393,320,1824,31,29,1,2,-,543511.44,3248854.8,6,8,255,255,2834698120,2839442988,53,228,0,0,42.018143,0.880746,0.7172,0.486571,0.00068,0.000521,0.000159,0,0,0.0,0,0,9,11,7,5,1,1,4,normal,0,ext,ext
210123,tcp,FIN,0.024292,37232,3380,31,29,18,8,smtp,12025688.0,1086777.5,52,42,255,255,3838028172,3839418645,716,80,0,0,25.739035,1.021467,0.469608,0.56361,0.001963,0.001179,0.000784,0,0,0.0,0,0,2,1,1,2,1,1,1,normal,0,ext,ext
1646520,tcp,FIN,0.290677,37264,3380,31,29,18,8,smtp,1005872.44,90822.45,52,42,255,255,455422935,456454924,717,80,0,0,573.1868,18.990372,5.80666,7.076756,0.000649,0.000526,0.000123,0,0,0.0,0,0,1,1,3,4,1,1,1,normal,0,ext,ext
754999,tcp,FIN,0.076267,3302,35742,31,29,7,21,-,339963.56,3682221.8,54,56,255,255,1424392876,1434890894,61,638,0,0,0.0,77.82275,1.431887,1.376618,0.000709,0.000549,0.00016,0,0,0.0,0,0,9,6,3,3,1,1,1,normal,0,ext,ext
652323,tcp,FIN,1.26698,1580,10168,31,29,3,5,http,9149.315,60641.84,12,18,255,255,1815846706,3966559545,132,565,1,3924,9844.511,7925.271,115.14909,74.49806,0.000632,0.000509,0.000123,0,0,1.0,0,0,2,2,3,2,2,1,1,normal,0,ext,ext
355663,udp,CON,0.001111,146,178,31,29,0,0,dns,525652.56,640864.1,2,2,0,0,0,0,73,89,0,0,0.0,0.0,0.008,0.008,0.0,0.0,0.0,0,0,0.0,0,0,3,2,1,4,1,1,1,normal,0,ext,ext
312146,tcp,FIN,0.978952,7306,14544,31,29,28,29,-,59181.656,117848.48,114,118,255,255,1709846258,1710792371,64,123,0,0,600.8029,591.06555,8.660142,8.362478,0.000673,0.000538,0.000135,0,0,0.0,0,0,9,6,2,10,1,1,1,normal,0,ext,ext
104688,tcp,FIN,0.006081,2048,2410,31,29,6,7,-,2582470.0,3049498.5,24,26,255,255,2845493199,2845831042,85,93,0,0,15.42622,13.683572,0.249609,0.21692,0.000809,0.000648,0.000161,0,0,0.0,0,0,5,7,5,4,1,1,1,normal,0,ext,ext
869514,tcp,FIN,1.703194,7814,15142,31,29,30,32,-,36402.195,70559.195,122,126,255,255,687024384,710408613,64,120,0,0,926.9655,916.3877,14.072851,13.620864,0.000734,0.000581,0.000153,0,0,0.0,0,0,9,8,3,6,2,1,2,normal,0,ext,ext
1777640,tcp,FIN,0.004302,424,8824,31,29,1,4,ftp-data,689911.6,15042305.0,8,12,255,255,3093847939,3096506286,53,735,0,0,34.733788,20.03939,0.568857,0.348364,0.000585,0.000465,0.00012,0,0,0.0,0,0,3,3,5,5,1,1,5,normal,0,ext,ext
